IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,Dorsal,Periodo,Tipo,Resultado,Zona,Left_pct,Top_pct
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO3,FALLADO,Z13-DE,68.92,79.53
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,4,TIRO3,FALLADO,Z11-DE,70.31,16.84
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,4,TIRO2,CONVERTIDO,Z1-DE,87.38,55.7
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO2,CONVERTIDO,Z1-DE,89.69,45.08
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO2,FALLADO,Z1-DE,86.31,61.66
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,4,TIRO2,CONVERTIDO,Z1-IZ,14.92,52.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,4,TIRO3,CONVERTIDO,Z11-IZ,30.62,79.79
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO3,CONVERTIDO,Z12-DE,61.54,55.96
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,4,TIRO3,CONVERTIDO,Z14-IZ,11.38,9.84
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,4,TIRO2,FALLADO,Z1-DE,89.38,43.01
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,4,TIRO2,CONVERTIDO,Z1-IZ,14.15,46.11
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,4,TIRO2,CONVERTIDO,Z1-DE,86.77,52.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,4,TIRO3,CONVERTIDO,Z12-IZ,38.0,47.67
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,11,4,TIRO2,FALLADO,Z1-IZ,14.46,46.11
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,4,TIRO3,CONVERTIDO,Z11-DE,70.46,15.54
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,4,TIRO2,FALLADO,Z1-IZ,14.0,45.6
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO2,CONVERTIDO,Z1-DE,85.69,46.37
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO2,FALLADO,Z3-DE,81.54,48.7
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),12,4,TIRO2,FALLADO,Z1-DE,88.62,54.92
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO3,FALLADO,Z11-DE,67.54,23.06
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,4,TIRO2,FALLADO,Z1-IZ,13.85,46.11
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),12,4,TIRO2,FALLADO,Z1-DE,86.15,53.63
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO2,FALLADO,Z3-DE,77.85,44.82
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,4,TIRO2,CONVERTIDO,Z1-IZ,14.15,45.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,11,4,TIRO3,FALLADO,Z11-IZ,29.23,81.09
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,4,TIRO3,CONVERTIDO,Z11-DE,76.31,12.18
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,11,4,TIRO3,FALLADO,Z13-IZ,32.62,22.28
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,4,TIRO3,FALLADO,Z12-IZ,35.08,60.88
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,4,TIRO2,CONVERTIDO,Z1-DE,88.46,58.81
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,4,TIRO2,CONVERTIDO,Z1-IZ,14.31,45.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,4,TIRO3,CONVERTIDO,Z13-DE,67.23,70.98
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,4,TIRO3,CONVERTIDO,Z11-IZ,36.77,72.28
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,4,TIRO2,FALLADO,Z1-DE,89.85,55.7
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,6,4,TIRO3,FALLADO,Z11-IZ,19.23,88.34
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO2,CONVERTIDO,Z3-DE,75.23,49.74
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,4,TIRO3,FALLADO,Z13-DE,67.38,72.02
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,4,TIRO2,CONVERTIDO,Z1-IZ,14.0,57.25
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,3,TIRO3,FALLADO,Z13-IZ,34.77,28.5
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,FALLADO,Z1-DE,85.23,46.37
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,12,3,TIRO2,CONVERTIDO,Z1-IZ,14.46,46.11
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,CONVERTIDO,Z3-DE,80.31,48.19
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,4,3,TIRO2,FALLADO,Z1-IZ,14.31,45.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,3,TIRO2,FALLADO,Z1-DE,85.54,58.81
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,11,3,TIRO2,CONVERTIDO,Z7-IZ,26.0,47.93
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,3,TIRO3,CONVERTIDO,Z10-DE,92.62,9.59
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO3,CONVERTIDO,Z11-DE,80.0,10.88
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,CONVERTIDO,Z4-DE,89.85,73.32
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,3,TIRO2,FALLADO,Z1-DE,89.85,53.37
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,3,TIRO2,FALLADO,Z1-IZ,12.77,41.71
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),6,3,TIRO2,FALLADO,Z4-DE,89.85,68.91
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,3,TIRO2,CONVERTIDO,Z1-IZ,13.85,45.6
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,3,TIRO3,FALLADO,Z12-DE,61.85,43.78
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,3,TIRO2,CONVERTIDO,Z1-IZ,11.69,55.44
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,3,TIRO3,CONVERTIDO,Z14-IZ,8.62,8.29
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),12,3,TIRO2,CONVERTIDO,Z1-DE,85.69,46.37
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,FALLADO,Z1-DE,86.77,56.99
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,3,TIRO2,FALLADO,Z1-DE,86.62,56.22
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),6,3,TIRO2,FALLADO,Z1-DE,85.85,45.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,3,TIRO2,FALLADO,Z1-IZ,11.69,53.37
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),12,3,TIRO3,FALLADO,Z11-DE,65.69,34.97
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,3,TIRO2,CONVERTIDO,Z1-IZ,13.85,41.71
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,3,TIRO2,CONVERTIDO,Z2-DE,87.54,34.2
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,3,TIRO3,FALLADO,Z13-IZ,32.62,23.58
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,CONVERTIDO,Z1-DE,88.62,45.6
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,3,TIRO3,CONVERTIDO,Z13-IZ,34.31,34.97
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),10,3,TIRO2,FALLADO,Z1-DE,87.54,56.22
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,3,TIRO2,FALLADO,Z4-IZ,9.69,24.87
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),6,3,TIRO3,FALLADO,Z11-DE,73.54,14.51
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,3,TIRO2,FALLADO,Z1-IZ,14.31,39.38
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,CONVERTIDO,Z1-DE,88.0,58.03
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,3,TIRO2,CONVERTIDO,Z1-IZ,13.08,57.77
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,3,TIRO3,FALLADO,Z11-DE,64.77,28.5
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,3,TIRO2,FALLADO,Z4-IZ,13.38,33.16
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,3,TIRO3,FALLADO,Z12-IZ,37.85,49.48
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,CONVERTIDO,Z1-DE,87.08,53.63
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,3,TIRO2,FALLADO,Z1-DE,85.69,45.6
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,3,TIRO2,FALLADO,Z1-IZ,11.23,43.26
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,3,TIRO2,FALLADO,Z1-DE,88.31,42.75
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,2,TIRO2,FALLADO,Z1-IZ,14.62,53.11
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,2,TIRO2,FALLADO,Z1-IZ,14.0,53.63
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,2,TIRO2,CONVERTIDO,Z1-IZ,14.31,53.63
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),10,2,TIRO3,FALLADO,Z11-DE,67.54,27.98
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,2,TIRO2,FALLADO,Z3-DE,77.23,60.36
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,2,TIRO3,FALLADO,Z11-DE,67.08,20.73
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,2,TIRO3,FALLADO,Z14-IZ,6.92,8.55
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,2,TIRO2,FALLADO,Z1-DE,85.69,53.63
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,6,2,TIRO2,FALLADO,Z1-IZ,12.46,44.56
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,2,TIRO2,FALLADO,Z6-DE,75.38,38.34
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,2,TIRO2,CONVERTIDO,Z1-IZ,12.77,43.26
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,2,TIRO2,CONVERTIDO,Z1-DE,90.15,39.9
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,2,TIRO2,FALLADO,Z4-DE,88.62,68.39
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,2,TIRO2,CONVERTIDO,Z5-IZ,8.77,82.38
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,2,TIRO3,FALLADO,Z13-IZ,38.46,27.72
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,2,TIRO3,FALLADO,Z11-DE,66.77,22.8
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,2,TIRO3,FALLADO,Z12-DE,63.23,51.3
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,2,TIRO2,CONVERTIDO,Z1-IZ,12.92,44.3
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,2,TIRO2,CONVERTIDO,Z1-DE,85.69,58.29
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,2,TIRO2,FALLADO,Z1-IZ,13.38,44.04
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,2,TIRO2,FALLADO,Z1-DE,85.69,54.15
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,2,TIRO2,CONVERTIDO,Z1-DE,86.0,53.89
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),10,2,TIRO3,FALLADO,Z13-DE,68.0,78.24
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,2,TIRO3,CONVERTIDO,Z14-DE,91.38,90.41
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,2,TIRO2,FALLADO,Z4-DE,85.69,62.18
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,2,TIRO3,FALLADO,Z13-DE,68.31,78.76
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,2,TIRO3,CONVERTIDO,Z11-IZ,32.62,78.5
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,2,TIRO2,FALLADO,Z2-DE,89.08,26.17
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,2,TIRO2,CONVERTIDO,Z1-DE,85.54,54.4
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,6,2,TIRO2,FALLADO,Z4-IZ,10.92,31.09
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,2,TIRO2,CONVERTIDO,Z1-DE,85.69,54.15
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,11,2,TIRO2,CONVERTIDO,Z1-IZ,12.46,43.52
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),10,2,TIRO3,FALLADO,Z10-DE,91.38,9.33
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),4,2,TIRO2,FALLADO,Z8-DE,77.38,69.95
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,2,TIRO3,FALLADO,Z11-DE,72.62,16.32
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,4,2,TIRO2,FALLADO,Z5-IZ,7.38,84.2
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,2,TIRO2,FALLADO,Z1-DE,85.23,52.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,4,2,TIRO3,FALLADO,Z14-IZ,7.54,9.59
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,1,TIRO2,FALLADO,Z4-DE,85.69,68.39
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,7,1,TIRO3,FALLADO,Z10-IZ,8.15,89.64
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),12,1,TIRO2,FALLADO,Z1-DE,86.31,43.52
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,6,1,TIRO3,FALLADO,Z10-IZ,8.15,89.9
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,1,TIRO3,FALLADO,Z11-DE,67.23,22.54
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,1,TIRO2,CONVERTIDO,Z1-IZ,15.23,52.85
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,1,TIRO2,FALLADO,Z2-DE,91.54,34.2
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,1,TIRO2,FALLADO,Z1-IZ,11.85,43.78
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,1,TIRO3,FALLADO,Z10-IZ,8.0,91.19
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,1,TIRO3,FALLADO,Z14-DE,83.38,90.16
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),6,1,TIRO3,FALLADO,Z11-DE,67.85,16.58
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,1,TIRO3,FALLADO,Z11-IZ,29.08,81.61
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),6,1,TIRO2,FALLADO,Z1-DE,88.0,58.81
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),11,1,TIRO3,FALLADO,Z10-DE,92.31,8.55
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,1,TIRO3,FALLADO,Z11-DE,74.0,17.1
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,1,TIRO2,CONVERTIDO,Z1-IZ,12.0,43.01
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,1,TIRO2,FALLADO,Z6-IZ,22.62,72.02
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),15,1,TIRO2,CONVERTIDO,Z1-DE,86.15,54.15
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,1,TIRO2,CONVERTIDO,Z1-IZ,12.46,43.78
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,1,TIRO3,FALLADO,Z13-IZ,34.31,20.47
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,1,TIRO2,FALLADO,Z1-DE,88.62,44.82
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,12,1,TIRO2,CONVERTIDO,Z1-IZ,12.92,43.01
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),6,1,TIRO2,FALLADO,Z1-DE,88.46,37.31
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,1,TIRO3,FALLADO,Z14-IZ,7.23,8.55
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,1,TIRO2,CONVERTIDO,Z1-DE,84.77,58.29
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,1,TIRO2,CONVERTIDO,Z1-DE,87.08,60.62
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,1,TIRO2,FALLADO,Z1-IZ,13.85,45.08
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),9,1,TIRO2,FALLADO,Z2-DE,84.31,39.64
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,1,TIRO3,FALLADO,Z11-IZ,18.46,89.38
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,9,1,TIRO3,FALLADO,Z14-IZ,8.0,9.59
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),8,1,TIRO2,CONVERTIDO,Z1-DE,86.92,44.3
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,15,1,TIRO2,CONVERTIDO,Z1-IZ,14.15,54.15
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),False,RACING (CH),12,1,TIRO2,FALLADO,Z4-DE,86.62,62.95
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,10,1,TIRO3,FALLADO,Z13-IZ,32.62,28.76
s31fnTJeDpcci4PUrMRgUQ==,23/09/2025,BOCA,RACING (CH),True,BOCA,13,1,TIRO2,CONVERTIDO,Z1-IZ,10.0,44.82
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,7,4,TIRO2,FALLADO,Z2-DE,79.9,34.19
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,True,PLATENSE,8,4,TIRO2,FALLADO,Z1-IZ,13.6,46.67
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,True,PLATENSE,9,4,TIRO3,FALLADO,Z13-IZ,32.08,22.56
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,13,4,TIRO2,CONVERTIDO,Z1-DE,85.18,43.76
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,7,4,TIRO3,FALLADO,Z13-DE,60.81,81.88
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,20,4,TIRO3,FALLADO,Z11-DE,64.47,17.09
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,13,4,TIRO3,CONVERTIDO,Z11-DE,63.15,31.62
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,11,4,TIRO2,CONVERTIDO,Z1-DE,88.63,54.53
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,20,4,TIRO3,FALLADO,Z13-DE,65.58,82.05
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,13,4,TIRO2,CONVERTIDO,Z1-DE,88.12,56.24
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,7,4,TIRO2,CONVERTIDO,Z1-DE,86.9,40.34
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,4,4,TIRO3,FALLADO,Z11-DE,68.02,19.49
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,2,4,TIRO3,FALLADO,Z11-DE,68.63,14.19
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,True,PLATENSE,8,4,TIRO3,FALLADO,Z13-IZ,35.23,20.51
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,11,4,TIRO2,CONVERTIDO,Z1-DE,88.02,58.8
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,True,PLATENSE,4,4,TIRO3,FALLADO,Z11-IZ,34.11,76.24
8UaEy6SLhtLZF0U-Zrz2nw==,25/09/2025,PLATENSE,FERRO,False,FERRO,7,4,TIRO2,CONVERTIDO,Z1-DE,88.73,57.61
